Italian Phrase,Russian Phonetic Transcription,Russian Translation,"Example Sentences (3-5, only words from the list)",Russian Translation of Examples
gennaio,[джэнна́йо],январь,"Gennaio è freddo.
In gennaio è inverno.
Gennaio è il primo mese.
Il gennaio nevica spesso.
Mi piace gennaio.
Gennaio ha trentuno giorni.
In gennaio festeggio il nuovo anno.
Gennaio è un mese corto.
Il gennaio è bianco.
Gennaio fa freddo.","Январь холодный.
В январе зима.
Январь — первый месяц.
В январе часто идёт снег.
Мне нравится январь.
В январе тридцать один день.
В январе я праздную Новый год.
Январь — короткий месяц.
Январь белый.
В январе холодно."
febbraio,[фэббра́йо],февраль,"Febbraio è corto.
In febbraio è ancora inverno.
Febbraio ha ventotto giorni.
Il febbraio è breve.
Mi piace febbraio.
Febbraio è il secondo mese.
In febbraio fa freddo.
Febbraio ha San Valentino.
Il febbraio è grigio.
Febbraio è inverno.","Февраль короткий.
В феврале ещё зима.
В феврале двадцать восемь дней.
Февраль — короткий.
Мне нравится февраль.
Февраль — второй месяц.
В феврале холодно.
В феврале День святого Валентина.
Февраль серый.
Февраль — зима."
marzo,[ма́рцо],март,"Marzo è primavera.
In marzo arriva la primavera.
Marzo è il terzo mese.
Il marzo è bello.
Mi piace marzo.
Marzo ha trentuno giorni.
In marzo fioriscono i fiori.
Marzo è un mese fresco.
Il marzo è verde.
Marzo fa più caldo.","Март — весна.
В марте приходит весна.
Март — третий месяц.
Март красивый.
Мне нравится март.
В марте тридцать один день.
В марте цветут цветы.
Март — прохладный месяц.
Март зелёный.
В марте становится теплее."
aprile,[апри́ле],апрель,"Aprile è bello.
In aprile è primavera.
Aprile ha trenta giorni.
Il aprile piove spesso.
Mi piace aprile.
Aprile è il quarto mese.
In aprile è più caldo.
Aprile ha Pasqua.
Il aprile è fiorito.
Aprile è primavera.","Апрель красивый.
В апреле весна.
В апреле тридцать дней.
В апреле часто идёт дождь.
Мне нравится апрель.
Апрель — четвёртый месяц.
В апреле теплее.
В апреле Пасха.
Апрель цветущий.
Апрель — весна."
maggio,[ма́джо],май,"Maggio è caldo.
In maggio è primavera.
Maggio è il quinto mese.
Il maggio è fiorito.
Mi piace maggio.
Maggio ha trentuno giorni.
In maggio vado al mare.
Maggio è un bel mese.
Il maggio è verde.
Maggio fa bello.","Май тёплый.
В мае весна.
Май — пятый месяц.
Май цветущий.
Мне нравится май.
В мае тридцать один день.
В мае я еду на море.
Май — хороший месяц.
Май зелёный.
В мае хорошая погода."
giugno,[джу́ньо],июнь,"Giugno è estate.
In giugno inizia l’estate.
Giugno è il sesto mese.
Il giugno è caldo.
Mi piace giugno.
Giugno ha trenta giorni.
In giugno vado in vacanza.
Giugno è un mese bello.
Il giugno è soleggiato.
Giugno fa caldo.","Июнь — лето.
В июне начинается лето.
Июнь — шестой месяц.
Июнь тёплый.
Мне нравится июнь.
В июне тридцать дней.
В июне я еду в отпуск.
Июнь — красивый месяц.
Июнь солнечный.
В июне жарко."
luglio,[лу́льо],июль,"Luglio è caldo.
In luglio è estate.
Luglio è il settimo mese.
Il luglio è vacanza.
Mi piace luglio.
Luglio ha trentuno giorni.
In luglio viaggio molto.
Luglio è un mese caldo.
Il luglio è soleggiato.
Luglio fa molto caldo.","Июль жаркий.
В июле лето.
Июль — седьмой месяц.
Июль — отпуск.
Мне нравится июль.
В июле тридцать один день.
В июле я много путешествую.
Июль — жаркий месяц.
Июль солнечный.
В июле очень жарко."
agosto,[аго́сто],август,"Agosto è caldo.
In agosto è estate.
Agosto è l’ottavo mese.
Il agosto è vacanza.
Mi piace agosto.
Agosto ha trentuno giorni.
In agosto sono in ferie.
Agosto è un mese caldo.
Il agosto è bello.
Agosto fa caldo.","Август жаркий.
В августе лето.
Август — восьмой месяц.
Август — отпуск.
Мне нравится август.
В августе тридцать один день.
В августе я в отпуске.
Август — жаркий месяц.
Август красивый.
В августе жарко."
settembre,[сэттэ́мбрэ],сентябрь,"Settembre è autunno.
In settembre torna la scuola.
Settembre è il nono mese.
Il settembre è fresco.
Mi piace settembre.
Settembre ha trenta giorni.
In settembre inizia l’autunno.
Settembre è un mese bello.
Il settembre è mite.
Settembre fa più fresco.","Сентябрь — осень.
В сентябре возвращается школа.
Сентябрь — девятый месяц.
Сентябрь прохладный.
Мне нравится сентябрь.
В сентябре тридцать дней.
В сентябре начинается осень.
Сентябрь — хороший месяц.
Сентябрь мягкий.
В сентябре становится прохладнее."
ottobre,[отто́брэ],октябрь,"Ottobre è autunno.
In ottobre le foglie cadono.
Ottobre è il decimo mese.
Il ottobre è bello.
Mi piace ottobre.
Ottobre ha trentuno giorni.
In ottobre è più fresco.
Ottobre è un mese autunnale.
Il ottobre è colorato.
Ottobre fa bello.","Октябрь — осень.
В октябре падают листья.
Октябрь — десятый месяц.
Октябрь красивый.
Мне нравится октябрь.
В октябре тридцать один день.
В октябре прохладнее.
Октябрь — осенний месяц.
Октябрь цветной.
В октябре хорошая погода."
