Итальянская фраза,Как произносить (по-русски),Перевод на русский,"Примеры использования в предложении (3-5, только слова из списка)"
a,[а],в / на / к,Vado a casa. Vado a Roma. Vado a cinema.
accanto,[акка́нто],рядом,La casa è accanto. Il bar è accanto. Il tavolo è accanto.
accarezzare,[аккарецца́ре],гладить,Io accarezzo il gatto. Tu accarezzi il bambino. La mamma accarezza il figlio.
accento,[ачче́нто],акцент,L’accento è italiano. L’accento è romano.
accendere,[ачче́ндере],включать / зажигать,Io accendo la luce. Tu accendi la lampada. La mamma accende la luce.
accordo,[акко́рдо],согласие,Sono d’accordo. Noi siamo d’accordo.
acqua,[а́кква],вода,Bevo l’acqua. L’acqua è fredda. Prendo l’acqua.
adesso,[адэ́ссо],сейчас,Adesso mangio. Adesso leggo. Adesso vado.
adorare,[адора́ре],обожать,Io adoro il caffè. Tu adori il gelato. La mamma adora il figlio.
afferrare,[афферра́ре],схватить,Io afferro il bicchiere. Tu afferri la mano.
aggiungere,[адджу́ндере],добавлять,Io aggiungo lo zucchero. Tu aggiungi il limone.
al,[аль],в / на (слитный),Vado al bar. Vado al cinema. Vado al tavolo.
alcuno,[альку́но],какой-нибудь,Non ho alcuno problema. Non vedo alcuno.
allora,[алло́ра],тогда,Allora andiamo. Allora mangiamo. Allora parliamo.
altro,[а́льтро],другой,Un altro caffè. Un altro bicchiere. Un altro giorno.
amaro,[ама́ро],горький,Il caffè è amaro. Il limone è amaro.
ambiente,[амбье́нте],обстановка / среда,L’ambiente è bello. L’ambiente è caldo.
amico,[амíко],друг,L’amico è simpatico. L’amico ride. Il mio amico arriva.
ammettere,[амметте́ре],допускать,Io ammetto che è vero. Tu ammetti l’errore.
amare,[ама́ре],любить,Io amo l’Italia. Tu ami Roma. La mamma ama il figlio.
anche,[а́нке],тоже / также,Anch’io vado. Anche tu vieni. Anche lei ride.
ancora,[анко́ра],ещё,Ancora un caffè. Ancora un po’. Ancora un momento.
andare,[анда́ре],идти,Io vado a casa. Tu vai al bar. Andiamo al cinema.
andarsene,[анда́рсене],уходить,Io me ne vado. Tu te ne vai. Lui se ne va.
angolo,[а́нголо],угол,All’angolo c’è il bar. All’angolo c’è la casa.
Anja,[А́ня],Аня (имя),Anja è russa. Anja ride. Anja arriva domani.
Anna,[А́нна],Анна (имя),Anna è felice. Anna parla italiano.
anno,[а́нно],год,L’anno è nuovo. Ho vent’anni.
annuire,[аннуи́ре],кивать,Io annuisco. Tu annuisci. La mamma annuisce.
aperitivo,[аперити́во],аперитив,Prendiamo l’aperitivo. L’aperitivo è buono.
aperto,[апэ́рто],открытый,Il bar è aperto. La finestra è aperta.
appena,[аппе́нна],только что / едва,Appena arrivato. Appena finito.
appendere,[аппе́ндере],вешать,Io appendo il quadro. Tu appendi la borsa.
appoggiare,[апподжа́ре],опираться / ставить,Io appoggio il bicchiere. Tu appoggi la borsa.
appunto,[аппу́нто],именно / заметка,Appunto! È vero. Ho un appunto.
aprile,[апри́ле],апрель,Aprile è bello. In aprile è primavera.
architetto,[арки́тетто],архитектор,L’architetto è bravo. L’architetto lavora.
aria,[а́рья],воздух,L’aria è fresca. C’è aria buona.
arrivare,[аррива́ре],прибывать,Io arrivo a Roma. Tu arrivi domani. Il treno arriva.
ascoltare,[аскольта́ре],слушать,Io ascolto la musica. Tu ascolti la mamma. Ascoltiamo!
aspettare,[аспетта́ре],ждать,Io aspetto l’amico. Tu aspetti il caffè. Aspettiamo insieme.
atmosfera,[атмосфе́ра],атмосфера,L’atmosfera è magica. L’atmosfera è romantica.
attimo,[а́ттимо],мгновение,Un attimo! In un attimo arrivo.
augurare,[аугура́ре],желать,Io auguro buonanotte. Tu auguri buon viaggio.
avere,[авэ́ре],иметь,Io ho fame. Tu hai tempo. Abbiamo un’idea.
avventura,[аввенту́ра],приключение,L’avventura è bella. Un’avventura romantica.
avvicinare,[аввичина́ре],приближать,Io mi avvicino. Tu ti avvicini al tavolo.
bancarella,[банкаре́лла],лоток / прилавок,Alla bancarella c’è il formaggio.
bar,[бар],бар,Andiamo al bar. Il bar è vicino.
basta,[ба́ста],хватит,Basta! È troppo.
bello,[бэ́лло],красивый,La serata è bella. Il film è bello. Roma è bella.
bene,[бэ́не],хорошо,Sto bene. Va bene. Tutto bene.
bicchiere,[биккье́ре],стакан,Un bicchiere di vino. Il bicchiere è pieno.
biscotto,[биско́тто],печенье,Un biscotto con il caffè.
boom,[бум],бум,Un boom di gente.
borsa,[бо́рса],сумка,La borsa è grande. Prendo la borsa.
braccio,[бра́ччо],рука (плечо),Il braccio è lungo. Prendo per il braccio.
breve,[брэ́ве],короткий,Una breve passeggiata. Un breve momento.
buffo,[бу́ффо],забавный,È buffo! La scena è buffa.
buono,[буо́но],хороший / вкусный,Il caffè è buono. La serata è buona.
buonanotte,[буонанно́тте],спокойной ночи,"Buonanotte! Buonanotte, amore."
cadere,[каде́ре],падать,Io cado. Il bicchiere cade.
caffè,[каффэ́],кофе,Un caffè per favore. Il caffè è caldo.
caldo,[ка́льдо],жарко / тёплый,Fa caldo. Il caffè è caldo.
calma,[ка́льма],спокойствие,Calma! Tutto è calma.
cameriere,[камерье́ре],официант,Il cameriere arriva. Il cameriere porta il caffè.
camminare,[каммина́ре],ходить,Io cammino in piazza. Tu cammini con me.
capello,[капэ́лло],волос,I capelli sono lunghi.
capire,[капи́ре],понимать,Io capisco. Tu capisci italiano. Capiamo tutto.
carino,[кари́но],милый,È carino! La ragazza è carina.
