Итальянская фраза,Как произносить (по-русски),Перевод на русский,"Примеры использования в предложении (3-5, только слова из списка)"
ma,[ма],но,È grande ma bello. È bravo ma stanco.
e,[э],и,Il padre e la madre. Il bambino e l’amico. La casa e l’ufficio.
però,[перó],однако,È bello però freddo. È grande però nuovo.
quando,[куáндо],когда,"Quando leggo, studio. Quando mangio, bevo."
che,[ке],что / который,So che è bravo. La casa che è grande.
perché,[перке́],потому что,Leggo perché è interessante. Studio perché è importante.
o,[о],или,Il caffè o l’acqua. Il museo o il ristorante.
se,[се],если,"Se è bravo, leggo. Se è grande, è bello."
mentre,[мэнтрэ],в то время как,"Mentre leggo, mangio. Mentre studio, bevo."
invece,[инвэ́че],вместо / а,Invece leggo. Invece studio.
dunque,[дýнкве],итак,Dunque è bravo. Dunque è grande.
quindi,[куи́нди],поэтому,Quindi leggo. Quindi mangio.
perciò,[перчó],поэтому,Perciò studio. Perciò viaggio.
