Итальянская фраза,Как произносить (по-русски),Перевод на русский,"Примеры использования в предложении (3-5, только слова из списка)"
abbaia,[абба́йа],лает,Il cane abbaia. Il cane abbaia forte. Il cane abbaia in cortile. Il cane abbaia al bambino. Il cane abbaia ai piccioni.
abbiamo,[аббья́мо],у нас есть (мы имеем),Noi abbiamo amici. Abbiamo casa. Abbiamo acqua. Abbiamo amici in città. Abbiamo pane.
abita,[а́бита],живёт (он/она),Lui abita in città. Lei abita vicino. Abita in casa. Abita a Venezia. Abita vicino al ponte.
abituati,[абитуа́ти],привыкшие,Siamo abituati. Abituati a tutto. Abituati al rumore. Abituati alla città.
accento,[ачче́нто],акцент,L'accento italiano. Ha accento. L'accento veneziano.
accogliente,[акколье́нте],гостеприимный,La casa accogliente. Città accogliente. Zona accogliente.
acqua,[а́кква],вода,Acqua fresca. Bere acqua. Acqua limpida. Acqua in canali.
ad,[ад],к (предлог),Ad acqua. Ad amici. Ad angolo. Ad attenzione.
addensano,[адде́нсано],сгущают,Nuvole addensano. Nuvole addensano in cielo.
addormenta,[аддорме́нта],укладывает спать,Lui addormenta il bambino. Addormenta presto.
affascinante,[аффашчина́нте],очаровательный,Città affascinante. Vista affascinante. Avventura affascinante.
aggirano,[адджира́но],обходят,Turisti aggirano. Aggirano il mercato. Aggirano i canali.
aggiungere,[адджу́нджере],добавлять,Aggiungere spezie. Aggiungere pane.
agitata,[аджита́та],взволнованная,Lei agitata. Situazione agitata. Lei agitata in piazza.
agitato,[аджита́то],взволнованный,Lui agitato. Lui agitato per il rumore.
ai,[ай],"к (предлог, мн.ч.)",Ai bambini. Ai piccioni. Ai turisti.
aiutarlo,[айута́рло],помочь ему,Possiamo aiutarlo. Aiutarlo a trovare.
aiutarti,[айута́рти],помочь тебе,Posso aiutarti. Aiutarti a trovare.
al,[ал],к (предлог),Al cane. Al bambino. Al mercato. Al ponte.
alcuni,[альку́ни],некоторые,Alcuni turisti. Alcuni amici. Alcuni piccioni.
ali,[а́ли],крылья,Ali di colomba. Ali di piccione.
all,[алл],к (предлог перед гласной),All'angolo. All'acqua.
alla,[а́лла],к (предлог ж.р.),Alla casa. Alla piazza. Alla fontana.
alto,[а́льто],высокий,Alto palazzo. Alto ponte. Alto castello.
altri,[а́льтри],другие,Altri turisti. Altri amici. Altri piccioni.
altrimenti,[альтриме́нти],иначе,Altrimenti perde. Altrimenti resta.
altro,[а́льтро],другой,Altro ponte. Altro pane. Altro momento.
alza,[а́льца],поднимает,Lui alza la testa. Alza la mano.
alzano,[а́льцано],поднимают,Loro alzano le mani. Alzano la testa.
amano,[а́мано],любят,Loro amano Venezia. Amano il mare. Amano il pane.
amica,[ами́ка],подруга,Mia amica. L'amica parla. L'amica sorride.
amici,[ами́чи],друзья,I miei amici. Amici in piazza. Amici italiani.
amico,[ами́ко],друг,Il mio amico. Amico parla. Amico arriva.
ancora,[анко́ра],ещё,Ancora acqua. Ancora pane. Ancora tempo.
andare,[анда́ре],идти,Andare in piazza. Andare a casa. Andare al mercato.
andata,[анда́та],ушла (ж.р.),Lei andata. Andata via.
