Итальянская фраза,Как произносить (по-русски),Перевод на русский,"Примеры использования в предложении (3-5, только слова из списка)"
bravo!,[брáво],молодец!,"Bravo! Il bambino è bravo! Bravo, amico!"
ciao,[чья́о],привет / пока,Ciao! Ciao amico! Ciao madre!
prego,[прэ́го],пожалуйста / не за что,"Prego! Il caffè, prego. Prego, entra."
grazie,[грáцие],спасибо,"Grazie! Grazie mille! Grazie, amico!"
piacere!,[пьячэ́ре],приятно познакомиться!,"Piacere! Piacere, sono russo. Piacere, amico!"
arrivederci,[арривэдэ́рчи],до свидания,"Arrivederci! Arrivederci, madre! Arrivederci, Italia!"
buongiorno,[буонджо́рно],добрый день,"Buongiorno! Buongiorno, padre! Buongiorno, amico!"
scusa,[ску́за],извини,"Scusa! Scusa, amico. Scusa, è tardi."
ecco,[э́кко],вот,Ecco! Ecco il caffè. Ecco la casa.
sì,[си],да,"Sì! Sì, è bravo. Sì, leggo."
no,[но],нет,"No! No, è piccolo. No, è freddo."
va bene,[ва бэ́не],хорошо / ладно,"Va bene! Va bene, domani. Va bene, mangio."
perfetto,[перфэ́тто],отлично,"Perfetto! Perfetto, è grande. Perfetto, è nuovo."
