Итальянская фраза,Как произносить (по-русски),Перевод на русский,"Примеры использования в предложении (3-5, только слова из списка)"
bene,[бэ́не],хорошо,Io sto bene. La lezione è bene. Il bambino è bene.
male,[мáле],плохо,Io sto male. La persona è male.
domani,[домáни],завтра,Domani parto. Domani è sabato. Domani studio.
dopo,[дóпо],после,Dopo leggo. Dopo mangio. Dopo torno.
di nuovo,[ди нуóво],снова,Di nuovo leggo. Di nuovo parto. Di nuovo mangio.
poco,[пóко],мало,Poco tempo. Poco caffè. Poco zucchero.
adesso,[адэ́ссо],сейчас,Adesso leggo. Adesso mangio. Adesso studio.
solo,[сóло],только / один,Solo io leggo. Solo tu sei bravo. Solo la casa è grande.
molto,[мóльто],очень / много,Molto bravo. Molto grande. Molto interessante.
così,[кóзи],так,Così è bene. Così è grande. Così è vero.
spesso,[спэ́ссо],часто,Spesso leggo. Spesso mangio pasta. Spesso viaggio.
finalmente,[финальмэ́нте],наконец,Finalmente arrivo. Finalmente leggo. Finalmente mangio.
di solito,[ди сóлито],обычно,Di solito leggo. Di solito mangio. Di solito lavoro.
un po’,[ун по],немного,Un po’ di tempo. Un po’ di caffè. Un po’ di paura.
meglio,[мэ́льо],лучше,Meglio così. Meglio domani. Meglio bene.
quasi,[куáзи],почти,Quasi finito. Quasi grande. Quasi bene.
troppo,[трóппо],слишком,Troppo grande. Troppo freddo. Troppo poco.
ancora,[анкóра],ещё,Ancora leggo. Ancora mangio. Ancora studio.
prima,[прíма],раньше / сначала,Prima leggo. Prima mangio. Prima studio.
poi,[пóи],потом,Poi leggo. Poi mangio. Poi torno.
quando,[куáндо],когда,Quando parti? Quando torni? Quando leggi?
dove,[дóве],где,Dove è la casa? Dove è il museo? Dove lavori?
perché,[перке́],почему / потому что,Perché leggi? Perché è grande.
mai,[мáй],никогда,Mai male. Mai poco. Mai freddo.
sempre,[сэ́мпре],всегда,Sempre bene. Sempre leggo. Sempre studio.
già,[джá],уже,Già leggo. Già mangio. Già so.
