category,italian,pronunciation,translation,examples
preposition,a,[а],в / на / к,Vado a casa. Vado a Roma. Vado a cinema.
adverb,accanto,[акка́нто],рядом,La casa è accanto. Il bar è accanto. Il tavolo è accanto.
verb,accarezzare,[аккарецца́ре],гладить,Io accarezzo il gatto. Tu accarezzi il bambino. La mamma accarezza il figlio.
noun,accento,[ачче́нто],акцент,L’accento è italiano. L’accento è romano.
verb,accendere,[ачче́ндере],включать / зажигать,Io accendo la luce. Tu accendi la lampada. La mamma accende la luce.
noun,accordo,[акко́рдо],согласие,Sono d’accordo. Noi siamo d’accordo.
noun,acqua,[а́кква],вода,Bevo l’acqua. L’acqua è fredda. Prendo l’acqua.
adverb,adesso,[адэ́ссо],сейчас,Adesso mangio. Adesso leggo. Adesso vado.
verb,adorare,[адора́ре],обожать,Io adoro il caffè. Tu adori il gelato. La mamma adora il figlio.
verb,afferrare,[афферра́ре],схватить,Io afferro il bicchiere. Tu afferri la mano.
verb,aggiungere,[адджу́ндере],добавлять,Io aggiungo lo zucchero. Tu aggiungi il limone.
preposition,al,[аль],в / на (слитный),Vado al bar. Vado al cinema. Vado al tavolo.
adjective,alcuno,[альку́но],какой-нибудь,Non ho alcuno problema. Non vedo alcuno.
adverb,allora,[алло́ра],тогда,Allora andiamo. Allora mangiamo. Allora parliamo.
adjective,altro,[а́льтро],другой,Un altro caffè. Un altro bicchiere. Un altro giorno.
adjective,amaro,[ама́ро],горький,Il caffè è amaro. Il limone è amaro.
noun,ambiente,[амбье́нте],обстановка / среда,L’ambiente è bello. L’ambiente è caldo.
noun,amico,[амíко],друг,L’amico è simpatico. L’amico ride. Il mio amico arriva.
verb,ammettere,[амметте́ре],допускать,Io ammetto che è vero. Tu ammetti l’errore.
verb,amare,[ама́ре],любить,Io amo l’Italia. Tu ami Roma. La mamma ama il figlio.
adverb,anche,[а́нке],тоже / также,Anch’io vado. Anche tu vieni. Anche lei ride.
adverb,ancora,[анко́ра],ещё,Ancora un caffè. Ancora un po’. Ancora un momento.
verb,andare,[анда́ре],идти,Io vado a casa. Tu vai al bar. Andiamo al cinema.
verb,andarsene,[анда́рсене],уходить,Io me ne vado. Tu te ne vai. Lui se ne va.
noun,angolo,[а́нголо],угол,All’angolo c’è il bar. All’angolo c’è la casa.
noun,Anja,[А́ня],Аня (имя),Anja è russa. Anja ride. Anja arriva domani.
noun,Anna,[А́нна],Анна (имя),Anna è felice. Anna parla italiano.
noun,anno,[а́нно],год,L’anno è nuovo. Ho vent’anni.
verb,annuire,[аннуи́ре],кивать,Io annuisco. Tu annuisci. La mamma annuisce.
noun,aperitivo,[аперити́во],аперитив,Prendiamo l’aperitivo. L’aperitivo è buono.
adjective,aperto,[апэ́рто],открытый,Il bar è aperto. La finestra è aperta.
