Итальянская фраза,Как произносить (по-русски),Перевод на русский,"Примеры использования в предложении (3-5, только слова из списка)"
in,[ин],в,In casa. In Italia. In ufficio. In Russia.
per,[пер],для / на,Per favore. Per il bambino. Per la lezione. Per il viaggio.
con,[кон],с,Con l’amico. Con la madre. Con il caffè. Con il cellulare.
di,[ди],о / из / от,Di Roma. Di Mosca. Di nuovo. Di solito.
a,[а],в / на / к,A Roma. A casa. A mezzogiorno. A pranzo.
da,[да],от / из,Da Mosca. Da Roma. Da casa. Da lavoro.
su,[су],на,Su il tavolo. Su il giornale. Su il ponte.
al / allo / alla,[аль / алло / алла],в / на (слитные),Al bar. Alla casa. Allo studio. Alla lezione.
del / della,[дель / делла],о / из (слитные),Del padre. Della madre. Del museo. Della casa.
tra / fra,[тра / фра],между,Tra casa e ufficio. Fra gli amici.
davanti a,[давáнти а],перед,Davanti a casa. Davanti al museo.
dietro,[диэ́тро],за,Dietro la casa. Dietro il palazzo.
sotto,[сóтто],под,Sotto il letto. Sotto il ponte.
sopra,[сóпра],над,Sopra il tavolo. Sopra la coperta.
vicino a,[вичíно а],рядом с,Vicino a casa. Vicino al bar. Vicino al museo.
lontano da,[лонтáно да],далеко от,Lontano da Mosca. Lontano da Roma.
