Итальянская фраза,Как произносить (по-русски),Перевод на русский,"Примеры использования в предложении (3-5, только слова из списка)"
padre,[пáдрэ],отец,Il padre è bravo. Il padre legge. Il padre ha un figlio. Il padre lavora in ufficio. Il padre è contento.
tempo,[тэмпо],время,Il tempo è buono. Il tempo passa. Ho tempo. Il tempo è nuovo.
monumento,[монументó],памятник,Il monumento è grande. Il monumento è a Roma. Il monumento è bello.
verbo,[вэрбо],глагол,Il verbo è importante. Il verbo “avere” è nuovo. Il verbo è vero.
bambino,[бамбúно],ребёнок (м),Il bambino è piccolo. Il bambino dorme. Un bambino è bravo. Il bambino ha paura.
caffè,[каффэ],кофе,Il caffè è buono. Un caffè per favore. Il caffè è caldo. Il caffè è poco.
amico,[амíко],друг,L’amico è bravo. L’amico legge. Il mio amico è russo. Gli amici sono italiani.
albergo,[альбэрго],гостиница,L’albergo è grande. L’albergo è nuovo. Un albergo è accogliente. L’albergo è a Roma.
museo,[музэ́о],музей,Il museo è grande. Il museo è interessante. Il museo è chiuso.
ristorante,[ристорáнтэ],ресторан,Il ristorante è buono. Il ristorante è vicino. Il ristorante è grande.
testo,[тэсто],текст,Il testo è interessante. Il testo è nuovo. Il testo è vero.
lavoro,[лавóро],работа,Il lavoro è importante. Il lavoro è in ufficio. Ho un lavoro. Il lavoro è buono.
vocabolario,[вокаболáрио],словарь,Il vocabolario è utile. Il vocabolario è nuovo. Il vocabolario è grande.
sabato,[сáбато],суббота,Sabato è libero. Sabato è bello. Il sabato è buono.
limone,[лимóнэ],лимон,Il limone è giallo. Il limone è piccolo. Un limone è buono.
letto,[лэтто],кровать,Il letto è grande. Il letto è nuovo. Il letto è caldo.
fratello,[фратéлло],брат,Il fratello è alto. Il fratello legge. Il fratello è bravo.
anno,[áнно],год,L’anno è nuovo. L’anno è bello. Ho trenta anni.
dottore,[доттóре],врач,Il dottore è bravo. Il dottore lavora. Il dottore è italiano.
nonno,[нóнно],дедушка,Il nonno è vecchio. Il nonno è contento. Il nonno legge.
appartamento,[аппартамэнто],квартира,L’appartamento è grande. L’appartamento è nuovo. L’appartamento è accogliente.
lunedì,[лунэдú],понедельник,Lunedì lavoro. Lunedì è buono.
martedì,[мартэдú],вторник,Martedì studio. Martedì è libero.
mercoledì,[мерколédи],среда,Mercoledì è buono. Mercoledì lavoro.
giovedì,[джовédи],четверг,Giovedì è bello. Giovedì studio.
venerdì,[венэрдú],пятница,Venerdì è libero. Venerdì lavoro.
settembre,[сеттэмбрэ],сентябрь,Settembre è bello. Settembre è caldo.
ottobre,[оттóбре],октябрь,Ottobre è fresco. Ottobre è bello.
dicembre,[дичémбре],декабрь,Dicembre è freddo. Dicembre è buono.
gennaio,[джэннáйо],январь,Gennaio è freddo. Gennaio è nuovo.
febbraio,[феббрáйо],февраль,Febbraio è freddo. Febbraio è corto.
luglio,[лúльо],июль,Luglio è caldo. Luglio è bello.
cellulare,[челлюлáре],мобильный телефон,Il cellulare è nuovo. Il cellulare è piccolo. Il cellulare è utile.
ufficio,[уффúчо],офис,L’ufficio è grande. L’ufficio è in città. L’ufficio è nuovo.
hotel,[отéль],отель,L’hotel è accogliente. L’hotel è grande. L’hotel è buono.
hobby,[óбби],хобби,L’hobby è bello. Il mio hobby è nuovo.
bicchiere,[биккьéре],стакан,Il bicchiere è grande. Il bicchiere è pieno.
fungo,[фýнго],гриб,Il fungo è buono. Il fungo è piccolo.
ghiaccio,[джáччо],лёд,Il ghiaccio è freddo. Il ghiaccio è piccolo.
cugino,[кудзúно],двоюродный брат,Il cugino è bravo. Il cugino legge.
figlio,[фíльо],сын,Il figlio è piccolo. Il figlio è bravo. Il figlio dorme.
mezzogiorno,[медзоджóрно],полдень,Mezzogiorno è caldo. A mezzogiorno mangio.
ragazzo,[рагáццо],парень,Il ragazzo è alto. Il ragazzo studia. Il ragazzo è contento.
marito,[марúто],муж,Il marito è contento. Il marito lavora. Il marito è italiano.
ponte,[пóнтэ],мост,Il ponte è grande. Il ponte è bello.
sciopero,[шóперо],забастовка,Lo sciopero è grande. Lo sciopero è domani.
bar,[бар],бар,Il bar è vicino. Il bar è buono. Il bar è aperto.
negozio,[недзóцио],магазин,Il negozio è grande. Il negozio è chiuso. Il negozio è nuovo.
palazzo,[палáццо],"дворец, здание",Il palazzo è grande. Il palazzo è a Roma. Il palazzo è bello.
esercizio,[эзэрчúцио],упражнение,L’esercizio è nuovo. L’esercizio è importante.
magazzino,[маггадзúно],склад,Il magazzino è grande. Il magazzino è chiuso.
mezzo,[мéдзо],средство,Il mezzo è buono. Il mezzo è nuovo.
zero,[дзéро],ноль,Zero è piccolo. Zero è il numero.
zona,[дзóна],зона,La zona è grande. La zona è nuova.
zio,[дзúо],дядя,Lo zio è italiano. Lo zio è bravo. Lo zio legge.
zucchero,[дзýккеро],сахар,Lo zucchero è dolce. Lo zucchero è poco.
pesce,[пéше],рыба,Il pesce è buono. Il pesce è fresco.
avvocato,[аввокáто],адвокат,L’avvocato è bravo. L’avvocato lavora.
compagno,[компáньо],товарищ,Il compagno è bravo. Il compagno studia.
pranzo,[прáнцо],обед,Il pranzo è buono. Il pranzo è a mezzogiorno.
bagno,[бáньо],ванна,Il bagno è grande. Il bagno è nuovo.
biglietto,[бильéтто],билет,Il biglietto è nuovo. Il biglietto è importante.
portafoglio,[портафóльо],кошелёк,Il portafoglio è nuovo. Il portafoglio è piccolo.
foglio,[фóльо],лист,Il foglio è nuovo. Il foglio è bianco.
signore,[синьóре],господин,Il signore è italiano. Il signore è bravo.
italiano,[итальáно],итальянец,L’italiano è bravo. L’italiano parla.
russo,[рýссо],русский,Il russo è bravo. Il russo studia.
slavo,[слáво],славянин,Lo slavo è russo. Lo slavo parla.
inglese,[инглéзе],англичанин,L’inglese è bravo. L’inglese legge.
studente,[студéнтэ],студент,Lo studente è bravo. Lo studente legge. Lo studente è stanco.
disoccupato,[дизоккупáто],безработный,Il disoccupato è stanco. Il disoccupato cerca lavoro.
sposato,[спозáто],женатый,Il sposato ha una moglie. Il sposato è contento.
stipendio,[стипéndио],зарплата,Lo stipendio è buono. Lo stipendio è grande.
panorama,[панóрама],панорама,Il panorama è bello. Il panorama è grande.
turista,[турúста],турист,Il turista è russo. Il turista visita il museo.
paese,[паэ́зе],страна / деревня,Il paese è bello. Il paese è italiano.
clima,[клúма],климат,Il clima è buono. Il clima è caldo.
direttore,[диреттóре],директор,Il direttore è bravo. Il direttore lavora.
giornale,[джорнáле],газета,Il giornale è nuovo. Il giornale è interessante.
calendario,[календáрио],календарь,Il calendario è nuovo. Il calendario è utile.
cinema,[чíнема],кино,Il cinema è grande. Il cinema è vicino.
autobus,[аутóбус],автобус,L’autobus è grande. L’autobus arriva.
viaggio,[вьяджо],поездка,Il viaggio è bello. Il viaggio è a Roma.
colloquio,[коллóквио],собеседование,Il colloquio è importante. Il colloquio è domani.
società,[сочъетá],общество / компания,La società è grande. La società è italiana.
filiale,[филиáле],филиал,La filiale è nuova. La filiale è in città.
Napoli,[нáполи],Неаполь,Napoli è grande. Napoli è bella.
madre,[мáдрэ],мать,La madre è brava. La madre legge. La madre ha una figlia. La madre cucina. La madre è contenta.
paura,[паýра],страх,La paura è grande. Ho paura. La paura è poca.
forma,[фóрма],форма,La forma è nuova. La forma è bella. La forma è grande.
domanda,[домáнда],вопрос,La domanda è interessante. La domanda è difficile. La domanda è nuova.
amica,[амíка],подруга,L’amica è brava. L’amica è russa. L’amica legge. Le amiche sono italiane.
coperta,[копэрта],одеяло,La coperta è nuova. La coperta è calda. La coperta è grande.
casa,[кáза],дом,La casa è grande. La casa è bella. La mia casa è a Mosca. La casa è accogliente.
frase,[фрáзе],фраза,La frase è nuova. La frase è vera. La frase è interessante.
cosa,[кóза],вещь,La cosa è interessante. La cosa è nuova. La cosa è grande.
persona,[пэрсóна],человек,La persona è buona. La persona è stanca. La persona è italiana.
festa,[фэста],праздник,La festa è bella. La festa è domani. La festa è grande.
finestra,[финэстра],окно,La finestra è grande. La finestra è aperta. La finestra è nuova.
pasta,[пáста],паста,La pasta è buona. La pasta è italiana. La pasta è calda.
camera,[кáмера],комната,La camera è accogliente. La camera è piccola. La camera è grande.
scuola,[скуóла],школа,La scuola è grande. La scuola è nuova.
parola,[парóла],слово,La parola è nuova. La parola è vera. La parola è importante.
sorella,[сорéлла],сестра,La sorella è brava. La sorella studia. La sorella è alta.
nonna,[нóнна],бабушка,La nonna è buona. La nonna cucina. La nonna è contenta.
sete,[сэте],жажда,Ho sete. La sete è grande.
tuta,[тýта],комбинезон,La tuta è nuova. La tuta è calda.
ditta,[дíтта],фирма,La ditta è grande. La ditta è italiana.
domenica,[домéника],воскресенье,Domenica è libera. Domenica è bella.
città,[читтá],город,La città è grande. La città è bella. La città è italiana.
civiltà,[чивильтá],цивилизация,La civiltà è italiana. La civiltà è grande.
cugina,[кудзúна],двоюродная сестра,La cugina è brava. La cugina legge. La cugina è russa.
macchina,[мáккина],машина,La macchina è nuova. La macchina è grande. La macchina è italiana.
chiave,[кьáве],ключ,La chiave è nuova. La chiave è piccola.
Italia,[итáлья],Италия,L’Italia è bella. L’Italia è grande. L’Italia è calda.
Russia,[рýссия],Россия,La Russia è grande. La Russia è fredda. La Russia è bella.
famiglia,[фамíлья],семья,La famiglia è grande. La famiglia è contenta. La famiglia è italiana.
lezione,[лецьóнэ],урок,La lezione è interessante. La lezione è nuova. La lezione è importante.
piazza,[пьáцца],площадь,La piazza è grande. La piazza è bella.
burocrazia,[бyрокрáция],бюрократия,La burocrazia è grande. La burocrazia è italiana.
zia,[дзúа],тётя,La zia è brava. La zia cucina. La zia è italiana.
zucchine,[дзуккúне],кабачки (мн.),Le zucchine sono buone. Le zucchine sono italiane.
colazione,[колатцьóне],завтрак,La colazione è buona. La colazione è a casa.
lasagne,[лазáнье],лазанья,Le lasagne sono buone. Le lasagne sono italiane.
tagliatelle,[тальятéлле],тальятелле,Le tagliatelle sono buone. Le tagliatelle sono italiane.
acqua,[ákква],вода,L’acqua è fredda. L’acqua è buona. L’acqua è poca.
lingua,[лíнгва],язык,La lingua è italiana. La lingua è nuova. La lingua è importante.
guida,[гвúда],гид,La guida è brava. La guida è italiana.
giornata,[джорнáта],день,La giornata è bella. La giornata è lunga.
donna,[дóнна],женщина,La donna è brava. La donna legge. La donna è italiana.
periferia,[перифéрия],окраина,La periferia è grande. La periferia è nuova.
moglie,[мóлье],жена,La moglie è contenta. La moglie legge. La moglie è brava.
bottiglia,[боттíлья],бутылка,La bottiglia è grande. La bottiglia è piena.
