category,italian,pronunciation,translation,examples
adjective,abituato,[абитуа́то],привыкший,"Io sono abituato al caldo. Lei è abituata alla Sicilia. Martina è abituata a viaggiare. Noi siamo abituati al mare."
verb,accendere,[ачче́ндере],зажигать / включать,"Io accendo il ventilatore. Lei accende la luce. Loro accendono il forno. Giuseppe accende la lampada."
verb,accomodarsi,[аккомода́рси],устраиваться / присаживаться,"Accomodatevi, ragazze! Io mi accomodo qui. Lei si accomoda a tavola. Noi ci accomodiamo in sala."
verb,accompagnare,[аккомпанья́ре],сопровождать,"Io accompagno Francesca. Lui accompagna Martina. Giuseppe accompagna le ragazze. Noi accompagniamo i turisti."
noun,afa,[а́фа],духота / жара,"Che afa in Sicilia! C’è tanta afa oggi. L’afa è terribile a Catania. Io sento l’afa."
verb,aggiungere,[адджу́нджере],добавлять,"Io aggiungo il pomodoro. Lei aggiunge la nduja. Martina aggiunge sale alla pasta. Noi aggiungiamo il riso."
noun,agosto,[аго́сто],август,"In agosto andiamo in Calabria. Agosto è molto caldo. Noi partiamo in agosto. Io vado in agosto."
verb,aiutare,[аютáре],помогать,"Io aiuto la mamma. Tu puoi aiutarvi? Noi aiutiamo i nonni. Giuseppe aiuta Francesca."
adverb,allora,[алло́ра],тогда / итак,"Allora, andiamo al mare! Allora, che facciamo? Allora va bene. Io dico allora."
adjective,alto,[а́льто],высокий,"Il palazzo è alto. I palazzi di Catania sono alti. Lui è alto. La torre è alta."
adjective,altro,[а́льтро],другой,"Gli altri giorni sono liberi. Gli altri amici arrivano domani. Io prendo un altro."
adverb,altrimenti,[альтриме́нти],иначе / в противном случае,"Altrimenti è tardi. Altrimenti perdiamo il traghetto. Io parto altrimenti."
adverb,anche,[а́нке],тоже / также,"Anch’io voglio la granita. Lei viene anche. Noi andiamo anche al mare. Anche tu."
adjective,annoiato,[анноя́то],скучающий,"Io sono annoiato. Lei è annoiata. Martina sembra annoiata."
adjective,anziano,[андзя́но],пожилой,"L’anziano è gentile. Il vecchietto anziano sorride. Lui è anziano."
adverb,appena,[аппе́нна],только что / едва,"Appena arrivate a Catania. Io sono appena arrivato. Lei è appena uscita."
noun,arancino,[аранчи́но],аранчини,"Io prendo un arancino. I arancini sono buonissimi. Lei mangia l’arancino."
noun,aria,[а́рья],воздух,"L’aria è fresca la mattina. C’è aria condizionata nella stanza. Io respiro l’aria."
verb,arrivare,[арривáре],прибывать,"Io arrivo a Catania. Le ragazze sono arrivate. Il traghetto arriva presto. Noi arriviamo domani."
verb,assaggiare,[ассаджья́ре],пробовать,"Io voglio assaggiare la granita. Lei assaggia le granite. Noi assaggiamo la nduja."
adverb,assolutamente,[ассолютаме́нте],абсолютно,"Io dico assolutamente sì! Lui dice assolutamente no."
noun,audio,[а́удио],аудио,"L’audio è molto chiaro. Io ascolto l’audio della lezione."
verb,avere,[авэ́ре],иметь,"Io ho fame. Lei ha voglia di mare. Noi abbiamo bisogno di calma."
verb,avvicinare,[аввичинáре],приближать,"Lei si avvicina alla barca. Io mi avvicino al gruppo. Loro si avvicinano al centro."
noun,bagaglio,[бага́льо],багаж,"I bagagli sono pesanti. Io prendo i bagagli. Martina ha due bagagli."
noun,bancarella,[банкаре́лла],лоток / палатка,"Alla bancarella ci sono arancini buoni. Noi vediamo la bancarella."
noun,barca,[ба́рка],лодка / катер,"Andiamo in barca. La barca è grande. Io salgo sulla barca."
adjective,bello,[бэ́лло],красивый,"Il mare è bello. Che bel giorno! La Sicilia è bellissima."
adjective,benedetto,[бенеде́тто],благословенный,"Benedetto sia il caffè! Il caffè benedetto è buonissimo."
adjective,benvenuto,[бенве́нуто],добро пожаловать,"Benvenute in Sicilia, ragazze! Benvenuto a Catania!"
noun,bisogno,[бизо́ньо],нужда,"Io ho bisogno di acqua. Lei ha bisogno di calma. Noi abbiamo bisogno di aiuto."
noun,bocca,[бо́кка],рот,"La bocca è piena. Non parlare con la bocca piena."
adjective,breve,[брэ́ве],короткий,"La lezione è breve. Le frasi sono brevi."
adjective,buono,[буо́но],хороший / вкусный,"Il caffè è buono. Le granite sono buonissime. Buon viaggio!"
interjection,buonanotte,[буонанно́тте],спокойной ночи,"Buonanotte a tutti! Buonanotte, Martina!"
interjection,buonasera,[буонасэ́ра],добрый вечер,"Buonasera signora! Buonasera a tutti."
adjective,calabrese,[калабрэ́зе],калабрийский,"Giuseppe è calabrese. La salsiccia calabrese è piccante."
noun,calabria,[кала́брия],Калабрия,"Andiamo in Calabria. In Calabria fa molto caldo."
noun,calma,[ка́льма],спокойствие,"Stai con calma! Mantenere la calma."
interjection,caspita,[ка́спита],ого! / вот это да!,"Caspita, che bello! Caspita, che afa!"
noun,catania,[ката́ния],Катания,"Siamo a Catania. Arriviamo a Catania domani."
noun,cena,[че́на],ужин,"La cena è pronta. Ceniamo insieme. A cena mangiamo la pasta."
noun,centimetro,[ченти́метро],сантиметр,"È alto cinquanta centimetri. La strada è lunga venti centimetri?"
noun,centro,[че́нтро],центр,"Il centro di Catania è bello. Andiamo in centro."
adverb,certo,[че́рто],конечно,"Certo! Certo, volentieri. Certo che sì."
pronoun,chi,[ки],кто,"Chi è? Chi arriva con te? Chi è quella ragazza?"
adjective,chiaro,[кья́ро],ясный / светлый,"La voce è chiara. L’audio è chiaro."
noun,chiesa,[кье́за],церковь,"La chiesa è molto bella. Andiamo alla chiesa."
adjective,cinquanta,[чинкуа́нта],пятьдесят,"Cinquanta euro. Ha cinquant’anni."
adverb,circa,[чи́рка],около / примерно,"Circa venti minuti. Circa due ore di viaggio."
adjective,climatizzato,[климатитца́то],с кондиционером,"La stanza è climatizzata. L’auto è climatizzata."
noun,colore,[коло́ре],цвет,"I colori della Sicilia sono belli. Che bei colori!"
adverb,come,[ко́ме],как,"Come stai? Come va la vacanza? Come si dice in italiano?"
verb,commentare,[коммента́ре],комментировать,"Lei commenta la gita. Io commento la storia."
adjective,condizionata,[кондицьона́та],кондиционированная,"L’aria condizionata è necessaria con l’afa."
verb,conoscere,[коно́шере],знать,"Io conosco Catania. Loro conoscono bene la Sicilia. Noi conosciamo Francesca."
verb,consolare,[консола́ре],утешать,"Io voglio consolare lei."
verb,continuare,[континуа́ре],продолжать,"Noi continuiamo il viaggio. La storia continua. Io continuo a studiare."
adjective,convinto,[конви́нто],убеждённый,"Lei è convinta. Io sono convinto."
noun,corso,[ко́рсо],курс,"Io seguo un corso di italiano. Il corso è interessante."
adverb,davvero,[давве́ро],действительно,"È davvero bello! Davvero buona la granita."
verb,decidere,[дечи́дере],решать,"Noi decidiamo di andare al mare. Lei decide di partire."
adverb,decisamente,[дечизиона́менте],решительно,"Decisamente sì! Decisamente troppo caldo."
