Итальянская фраза,Как произносить (по-русски),Перевод на русский,"Примеры использования в предложении (3-5, только слова из списка)"
bravo / brava,[брáво / брáва],хороший / хорошая,Il bambino è bravo. La madre è brava. Il ragazzo è bravo. La lezione è brava.
nuovo,[нуóво],новый,Il libro è nuovo. La casa è nuova. L’anno è nuovo. Il cellulare è nuovo.
caro / cara,[кáро / кáра],дорогой / дорогая,Il caffè è caro. La madre è cara. L’amico è caro. La casa è cara.
grande,[грáндэ],большой,La casa è grande. Il museo è grande. Il palazzo è grande. La famiglia è grande.
vero,[вэро],настоящий / правда,Il verbo è vero. La frase è vera. Il tempo è vero.
stanco,[стáнко],уставший,Lo studente è stanco. La persona è stanca. Il bambino è stanco.
interessante,[интерессáнтэ],интересный,Il testo è interessante. La lezione è interessante. Il museo è interessante.
basso / bassa,[бáссо / бáсса],низкий / низкая,Il ragazzo è basso. La casa è bassa.
grasso / grassa,[грáссо / грáсса],толстый / толстая,Il bambino è grasso. La persona è grassa.
russo / russa,[рýссо / рýсса],русский / русская,L’amico è russo. L’amica è russa. Lo slavo è russo.
slavo / slava,[слáво / слáва],славянский / славянская,Lo slavo è russo. La persona è slava.
sposato / sposata,[спозáто / спозáта],женатый / замужняя,Il marito è sposato. La moglie è sposata.
disoccupato,[дизоккупáто],безработный,Lo studente è disoccupato. Il disoccupato cerca lavoro.
libero,[лíберо],свободный,Sabato è libero. Il tempo è libero.
piccolo,[пíкколо],маленький,Il bambino è piccolo. Il bicchiere è piccolo. La casa è piccola.
falso,[фáльсо],ложный,La frase è falsa. La forma è falsa.
intelligente,[интеллиджéнтэ],умный,Lo studente è intelligente. Il ragazzo è intelligente.
caldo,[кáльдо],тёплый / жаркий,Il caffè è caldo. Luglio è caldo. La coperta è calda.
freddo / fredda,[фрэддо / фрэдда],холодный / холодная,L’acqua è fredda. Gennaio è freddo. La Russia è fredda.
occupato,[оккупáто],занятый,L’ufficio è occupato. Lo studente è occupato.
bello,[бэлло],красивый,La casa è bella. L’Italia è bella. Il panorama è bello.
diverso,[дивéрсо],другой / различный,Il verbo è diverso. La forma è diversa.
alto,[áльто],высокий,Il ragazzo è alto. Il palazzo è alto.
magro,[мáгро],худой,Il ragazzo è magro. La persona è magra.
pieno,[пьéно],полный,Il bicchiere è pieno. Il portafoglio è pieno.
chiuso,[кью́зо],закрытый,Il museo è chiuso. Il negozio è chiuso.
malato,[малáто],больной,La persona è malata. Il bambino è malato.
accogliente,[аккольéнтэ],уютный,L’albergo è accogliente. La camera è accogliente.
necessario,[нечессáрио],необходимый,Il vocabolario è necessario. Il lavoro è necessario.
solito,[сóлито],обычный,La cosa è solita. La lezione è solita.
terzo,[тéрцо],третий,Il terzo esercizio è nuovo. La terza lezione è interessante.
tedesco,[тедéско],немецкий,Il tedesco è bravo. La persona è tedesca.
straniero,[страньéро],иностранный,Lo straniero è russo. Lo straniero visita l’Italia.
sbagliato,[сбалья́то],неправильный,L’esercizio è sbagliato. La frase è sbagliata.
prossimo,[прóссимо],следующий,Il prossimo anno è nuovo. La prossima lezione è interessante.
ultimo,[ýльтимо],последний,L’ultimo esercizio è difficile. L’ultimo mese è dicembre.
pesante,[пезáнтэ],тяжёлый,Il lavoro è pesante. La coperta è pesante.
contento,[контéнто],довольный,Il bambino è contento. La famiglia è contenta.
