Итальянская фраза,Как произносить (по-русски),Перевод на русский,"Примеры использования в предложении (3-5, только слова из списка)"
mia,[мíа],моя,La mia casa è grande. La mia madre è brava. La mia amica è russa.
mio,[мíо],мой,Il mio padre è bravo. Il mio amico legge. Il mio fratello è alto.
suo / sua,[суó / суá],его / её / свой,Il suo amico è bravo. La sua casa è grande. La sua madre è brava.
questo / questa,[куэ́сто / куэ́ста],этот / эта,Questo bambino è bravo. Questa casa è grande. Questo museo è interessante.
quello / quella,[куэ́лло / куэ́лла],тот / та,Quello studente è stanco. Quella lezione è interessante. Quella casa è bella.
io,[и́о],я (в глаголах),Io leggo. Io sono russo. Io ho un amico.
tu,[ту],ты,Tu sei bravo. Tu leggi. Tu hai una casa.
noi,[нóи],мы,Noi siamo italiani. Noi leggiamo. Noi abbiamo tempo.
voi,[вóи],вы,Voi siete bravi. Voi leggete. Voi avete una macchina.
loro,[лóро],они,Loro sono contenti. Loro leggono. Loro hanno una famiglia.
mi,[ми],мне / меня,Mi chiamo. Mi piace il caffè. Mi piace la casa.
ti,[ти],тебе / тебя,Ti piace il caffè. Ti piace la lezione.
gli / le,[льи / ле],ему / ей,Gli piace il caffè. Le piace la casa.
lo / la,[ло / ла],его / её (прям. доп.),Lo leggo. La leggo. Lo vedo.
ne,[не],оттуда / об этом,Ne ho paura. Ne parlo.
ci,[чи],нам / нас / туда,Ci piace il caffè. Ci siamo.
qualcuno,[куалькýно],кто-то,Qualcuno legge. Qualcuno è bravo.
qualcosa,[куалькóза],что-то,Qualcosa è interessante. Qualcosa è nuovo.
tutti,[тýтти],все,Tutti leggono. Tutti sono bravi. Tutti hanno tempo.
molte,[мóльте],многие,Molte persone leggono. Molte case sono grandi.
