Итальянская фраза,Как произносить (по-русски),Перевод на русский,"Примеры использования в предложении (3-5, только слова из списка)"
madre,[мáдрэ],мать,La madre è brava. La madre legge. La madre ha una figlia. La madre cucina. La madre è contenta.
paura,[паýра],страх,La paura è grande. Ho paura. La paura è poca.
forma,[фóрма],форма,La forma è nuova. La forma è bella. La forma è grande.
domanda,[домáнда],вопрос,La domanda è interessante. La domanda è difficile. La domanda è nuova.
amica,[амíка],подруга,L’amica è brava. L’amica è russa. L’amica legge. Le amiche sono italiane.
coperta,[копэрта],одеяло,La coperta è nuova. La coperta è calda. La coperta è grande.
casa,[кáза],дом,La casa è grande. La casa è bella. La mia casa è a Mosca. La casa è accogliente.
frase,[фрáзе],фраза,La frase è nuova. La frase è vera. La frase è interessante.
cosa,[кóза],вещь,La cosa è interessante. La cosa è nuova. La cosa è grande.
persona,[пэрсóна],человек,La persona è buona. La persona è stanca. La persona è italiana.
festa,[фэста],праздник,La festa è bella. La festa è domani. La festa è grande.
finestra,[финэстра],окно,La finestra è grande. La finestra è aperta. La finestra è nuova.
pasta,[пáста],паста,La pasta è buona. La pasta è italiana. La pasta è calda.
camera,[кáмера],комната,La camera è accogliente. La camera è piccola. La camera è grande.
scuola,[скуóла],школа,La scuola è grande. La scuola è nuova.
parola,[парóла],слово,La parola è nuova. La parola è vera. La parola è importante.
sorella,[сорéлла],сестра,La sorella è brava. La sorella studia. La sorella è alta.
nonna,[нóнна],бабушка,La nonna è buona. La nonna cucina. La nonna è contenta.
sete,[сэте],жажда,Ho sete. La sete è grande.
tuta,[тýта],комбинезон,La tuta è nuova. La tuta è calda.
ditta,[дíтта],фирма,La ditta è grande. La ditta è italiana.
domenica,[домéника],воскресенье,Domenica è libera. Domenica è bella.
città,[читтá],город,La città è grande. La città è bella. La città è italiana.
civiltà,[чивильтá],цивилизация,La civiltà è italiana. La civiltà è grande.
cugina,[кудзúна],двоюродная сестра,La cugina è brava. La cugina legge. La cugina è russa.
macchina,[мáккина],машина,La macchina è nuova. La macchina è grande. La macchina è italiana.
chiave,[кьáве],ключ,La chiave è nuova. La chiave è piccola.
Italia,[итáлья],Италия,L’Italia è bella. L’Italia è grande. L’Italia è calda.
Russia,[рýссия],Россия,La Russia è grande. La Russia è fredda. La Russia è bella.
famiglia,[фамíлья],семья,La famiglia è grande. La famiglia è contenta. La famiglia è italiana.
lezione,[лецьóнэ],урок,La lezione è interessante. La lezione è nuova. La lezione è importante.
piazza,[пьáцца],площадь,La piazza è grande. La piazza è bella.
burocrazia,[бyрокрáция],бюрократия,La burocrazia è grande. La burocrazia è italiana.
zia,[дзúа],тётя,La zia è brava. La zia cucina. La zia è italiana.
zucchine,[дзуккúне],кабачки (мн.),Le zucchine sono buone. Le zucchine sono italiane.
colazione,[колатцьóне],завтрак,La colazione è buona. La colazione è a casa.
lasagne,[лазáнье],лазанья,Le lasagne sono buone. Le lasagne sono italiane.
tagliatelle,[тальятéлле],тальятелле,Le tagliatelle sono buone. Le tagliatelle sono italiane.
acqua,[ákква],вода,L’acqua è fredda. L’acqua è buona. L’acqua è poca.
lingua,[лíнгва],язык,La lingua è italiana. La lingua è nuova. La lingua è importante.
guida,[гвúда],гид,La guida è brava. La guida è italiana.
giornata,[джорнáта],день,La giornata è bella. La giornata è lunga.
donna,[дóнна],женщина,La donna è brava. La donna legge. La donna è italiana.
periferia,[перифéрия],окраина,La periferia è grande. La periferia è nuova.
moglie,[мóлье],жена,La moglie è contenta. La moglie legge. La moglie è brava.
bottiglia,[боттíлья],бутылка,La bottiglia è grande. La bottiglia è piena.
