Итальянская фраза,Как произносить (по-русски),Перевод на русский,"Примеры использования в предложении (3-5, только слова из списка)"
un,[ун],неопределённый артикль (м. р. ед. ч.),Un bambino è bravo. Un amico legge. Un padre ha un figlio. Un caffè è buono. Un albergo è grande.
una,[уна],неопределённый артикль (ж. р. ед. ч.),Una madre è brava. Una casa è grande. Una domanda è interessante. Una amica è russa. Una lezione è nuova.
un',[ун’],неопределённый артикль (ж. р. перед гласной),Un'amica è stanca. Un'acqua è fredda. Un'amica parla.
uno,[уно],неопределённый артикль (м. р. перед s/z),Uno studente è bravo. Uno zio è italiano. Uno studente legge.
il,[иль],определённый артикль (м. р. ед. ч.),Il padre lavora. Il bambino dorme. Il tempo è buono. Il museo è grande. Il caffè è caldo.
la,[ла],определённый артикль (ж. р. ед. ч.),La madre è brava. La casa è grande. La paura è grande. La finestra è aperta. La lezione è interessante.
lo,[ло],определённый артикль (м. р. перед s/z),Lo studente legge. Lo zio arriva. Lo studente è stanco.
l',[ль],определённый артикль (перед гласной),L'amico è bravo. L'albergo è nuovo. L'amica è russa. L'acqua è fredda.
i,[и],определённый артикль (м. р. мн. ч.),I bambini sono bravi. I padri lavorano. I musei sono grandi.
le,[ле],определённый артикль (ж. р. мн. ч.),Le madri sono brave. Le case sono grandi. Le lezioni sono interessanti.
gli,[льи],определённый артикль (м. р. мн. ч. перед гласной/s/z),Gli amici sono bravi. Gli studenti leggono. Gli zii sono italiani.
