Итальянская фраза,Как произносить (по-русски),Перевод на русский,"Примеры использования в предложении (3-5, только слова из списка)"
abituato,[абитуа́то],привыкший,Io sono abituato al caldo. Lei è abituata alla Sicilia. Martina è abituata a viaggiare. Noi siamo abituati al mare.
accendere,[ачче́ндере],зажигать / включать,Io accendo il ventilatore. Lei accende la luce. Loro accendono il forno. Giuseppe accende la lampada.
accomodarsi,[аккомода́рси],устраиваться / присаживаться,"Accomodatevi, ragazze! Io mi accomodo qui. Lei si accomoda a tavola. Noi ci accomodiamo in sala."
accompagnare,[аккомпанья́ре],сопровождать,Io accompagno Francesca. Lui accompagna Martina. Giuseppe accompagna le ragazze. Noi accompagniamo i turisti.
afa,[а́фа],духота / жара,Che afa in Sicilia! C’è tanta afa oggi. L’afa è terribile a Catania. Io sento l’afa.
aggiungere,[адджу́нджере],добавлять,Io aggiungo il pomodoro. Lei aggiunge la nduja. Martina aggiunge sale alla pasta. Noi aggiungiamo il riso.
agosto,[аго́сто],август,In agosto andiamo in Calabria. Agosto è molto caldo. Noi partiamo in agosto. Io vado in agosto.
aiutare,[аютáре],помогать,Io aiuto la mamma. Tu puoi aiutarvi? Noi aiutiamo i nonni. Giuseppe aiuta Francesca.
allora,[алло́ра],тогда / итак,"Allora, andiamo al mare! Allora, che facciamo? Allora va bene. Io dico allora."
alto,[а́льто],высокий,Il palazzo è alto. I palazzi di Catania sono alti. Lui è alto. La torre è alta.
altro,[а́льтро],другой,Gli altri giorni sono liberi. Gli altri amici arrivano domani. Io prendo un altro.
altrimenti,[альтриме́нти],иначе / в противном случае,Altrimenti è tardi. Altrimenti perdiamo il traghetto. Io parto altrimenti.
anche,[а́нке],тоже / также,Anch’io voglio la granita. Lei viene anche. Noi andiamo anche al mare. Anche tu.
annoiato,[анноя́то],скучающий,Io sono annoiato. Lei è annoiata. Martina sembra annoiata.
anziano,[андзя́но],пожилой,L’anziano è gentile. Il vecchietto anziano sorride. Lui è anziano.
appena,[аппе́нна],только что / едва,Appena arrivate a Catania. Io sono appena arrivato. Lei è appena uscita.
arancino,[аранчи́но],аранчини,Io prendo un arancino. I arancini sono buonissimi. Lei mangia l’arancino.
aria,[а́рья],воздух,L’aria è fresca la mattina. C’è aria condizionata nella stanza. Io respiro l’aria.
arrivare,[арривáре],прибывать,Io arrivo a Catania. Le ragazze sono arrivate. Il traghetto arriva presto. Noi arriviamo domani.
assaggiare,[ассаджья́ре],пробовать,Io voglio assaggiare la granita. Lei assaggia le granite. Noi assaggiamo la nduja.
assolutamente,[ассолютаме́нте],абсолютно,Io dico assolutamente sì! Lui dice assolutamente no.
audio,[а́удио],аудио,L’audio è molto chiaro. Io ascolto l’audio della lezione.
avere,[авэ́ре],иметь,Io ho fame. Lei ha voglia di mare. Noi abbiamo bisogno di calma.
avvicinare,[аввичинáре],приближать,Lei si avvicina alla barca. Io mi avvicino al gruppo. Loro si avvicinano al centro.
bagaglio,[бага́льо],багаж,I bagagli sono pesanti. Io prendo i bagagli. Martina ha due bagagli.
bancarella,[банкаре́лла],лоток / палатка,Alla bancarella ci sono arancini buoni. Noi vediamo la bancarella.
barca,[ба́рка],лодка / катер,Andiamo in barca. La barca è grande. Io salgo sulla barca.
bello,[бэ́лло],красивый,Il mare è bello. Che bel giorno! La Sicilia è bellissima.
benedetto,[бенеде́тто],благословенный,Benedetto sia il caffè! Il caffè benedetto è buonissimo.
benvenuto,[бенве́нуто],добро пожаловать,"Benvenute in Sicilia, ragazze! Benvenuto a Catania!"
bisogno,[бизо́ньо],нужда,Io ho bisogno di acqua. Lei ha bisogno di calma. Noi abbiamo bisogno di aiuto.
bocca,[бо́кка],рот,La bocca è piena. Non parlare con la bocca piena.
breve,[брэ́ве],короткий,La lezione è breve. Le frasi sono brevi.
buono,[буо́но],хороший / вкусный,Il caffè è buono. Le granite sono buonissime. Buon viaggio!
buonanotte,[буонанно́тте],спокойной ночи,"Buonanotte a tutti! Buonanotte, Martina!"
buonasera,[буонасэ́ра],добрый вечер,Buonasera signora! Buonasera a tutti.
calabrese,[калабрэ́зе],калабрийский,Giuseppe è calabrese. La salsiccia calabrese è piccante.
calabria,[кала́брия],Калабрия,Andiamo in Calabria. In Calabria fa molto caldo.
calma,[ка́льма],спокойствие,Stai con calma! Mantenere la calma.
caspita,[ка́спита],ого! / вот это да!,"Caspita, che bello! Caspita, che afa!"
catania,[ката́ния],Катания,Siamo a Catania. Arriviamo a Catania domani.
cena,[че́на],ужин,La cena è pronta. Ceniamo insieme. A cena mangiamo la pasta.
centimetro,[ченти́метро],сантиметр,È alto cinquanta centimetri. La strada è lunga venti centimetri?
centro,[че́нтро],центр,Il centro di Catania è bello. Andiamo in centro.
certo,[че́рто],конечно,"Certo! Certo, volentieri. Certo che sì."
chi,[ки],кто,Chi è? Chi arriva con te? Chi è quella ragazza?
chiaro,[кья́ро],ясный / светлый,La voce è chiara. L’audio è chiaro.
chiesa,[кье́за],церковь,La chiesa è molto bella. Andiamo alla chiesa.
cinquanta,[чинкуа́нта],пятьдесят,Cinquanta euro. Ha cinquant’anni.
circa,[чи́рка],около / примерно,Circa venti minuti. Circa due ore di viaggio.
climatizzato,[климатитца́то],с кондиционером,La stanza è climatizzata. L’auto è climatizzata.
colore,[коло́ре],цвет,I colori della Sicilia sono belli. Che bei colori!
